slug,institution,short_name,sies_name,type,subtype,is_state,is_cruch,regions,campuses_with_medicina,campus_list,campus_cities,matricula_total_2026,matricula_primer_ano_2026,women_2026,men_2026,pct_women,institutional_accreditation,programme_accreditation,duration_semesters,new_programme_2026,metric_note,source,source_url,source_date,prog_accred_years,prog_accred_from,prog_accred_until,prog_accred_source
universidad-catolica-del-norte,Universidad Católica del Norte,UCN,UNIVERSIDAD CATOLICA DEL NORTE,Universidades CRUCH,Universidades Privadas CRUCH,no,yes,Coquimbo,1,Coquimbo,1,443,62,242,201,54.6,ACREDITADA,ACREDITADA,14,no,matrícula total and matrícula de primer año are DIFFERENT metrics; both are 2026 values summed across this institution's campuses,SIES/MINEDUC Matrícula 2026,https://www.mifuturo.cl/wp-content/uploads/2026/07/Matricula_2026_WEB_10_07_2026.zip,2026-07-10,6,24-07-2024,24-07-2030,https://www.cnachile.cl/Paginas/medicina.aspx
universidad-de-antofagasta,Universidad de Antofagasta,UA,UNIVERSIDAD DE ANTOFAGASTA,Universidades CRUCH,Universidades Estatales CRUCH,yes,yes,Antofagasta,1,Sede Campus Coloso — Antofagasta,1,392,48,235,157,59.9,ACREDITADA,ACREDITADA,14,no,matrícula total and matrícula de primer año are DIFFERENT metrics; both are 2026 values summed across this institution's campuses,SIES/MINEDUC Matrícula 2026,https://www.mifuturo.cl/wp-content/uploads/2026/07/Matricula_2026_WEB_10_07_2026.zip,2026-07-10,5,21-09-2022,21-09-2027,https://www.cnachile.cl/Paginas/medicina.aspx
universidad-de-magallanes,Universidad de Magallanes,UMAG,UNIVERSIDAD DE MAGALLANES,Universidades CRUCH,Universidades Estatales CRUCH,yes,yes,Magallanes,1,Punta Arenas,1,355,51,205,150,57.7,ACREDITADA,ACREDITADA,14,no,matrícula total and matrícula de primer año are DIFFERENT metrics; both are 2026 values summed across this institution's campuses,SIES/MINEDUC Matrícula 2026,https://www.mifuturo.cl/wp-content/uploads/2026/07/Matricula_2026_WEB_10_07_2026.zip,2026-07-10,4,17-08-2022,In progress(*),https://www.cnachile.cl/Paginas/medicina.aspx
universidad-de-atacama,Universidad de Atacama,UDA,UNIVERSIDAD DE ATACAMA,Universidades CRUCH,Universidades Estatales CRUCH,yes,yes,Atacama,1,Copiapó,1,344,54,223,121,64.8,ACREDITADA,ACREDITADA,14,no,matrícula total and matrícula de primer año are DIFFERENT metrics; both are 2026 values summed across this institution's campuses,SIES/MINEDUC Matrícula 2026,https://www.mifuturo.cl/wp-content/uploads/2026/07/Matricula_2026_WEB_10_07_2026.zip,2026-07-10,4,19-08-2026,19-08-2030,https://www.cnachile.cl/Paginas/medicina.aspx
universidad-bernardo-o-higgins,Universidad Bernardo O'Higgins,UBO,UNIVERSIDAD BERNARDO O'HIGGINS,Universidades Privadas,Universidades Privadas,no,no,Metropolitana,1,Santiago,1,342,62,212,130,62.0,ACREDITADA,ACREDITADA,14,no,matrícula total and matrícula de primer año are DIFFERENT metrics; both are 2026 values summed across this institution's campuses,SIES/MINEDUC Matrícula 2026,https://www.mifuturo.cl/wp-content/uploads/2026/07/Matricula_2026_WEB_10_07_2026.zip,2026-07-10,3,11-10-2023,11-10-2026,https://www.cnachile.cl/Paginas/medicina.aspx
universidad-de-tarapaca,Universidad de Tarapacá,UTA,UNIVERSIDAD DE TARAPACA,Universidades CRUCH,Universidades Estatales CRUCH,yes,yes,Arica y Parinacota,1,Arica,1,260,44,157,103,60.4,ACREDITADA,ACREDITADA,14,no,matrícula total and matrícula de primer año are DIFFERENT metrics; both are 2026 values summed across this institution's campuses,SIES/MINEDUC Matrícula 2026,https://www.mifuturo.cl/wp-content/uploads/2026/07/Matricula_2026_WEB_10_07_2026.zip,2026-07-10,5,19-03-2025,19-03-2030,https://www.cnachile.cl/Paginas/medicina.aspx
universidad-catolica-de-temuco,Universidad Católica de Temuco,UCT,UNIVERSIDAD CATOLICA DE TEMUCO,Universidades CRUCH,Universidades Privadas CRUCH,no,yes,La Araucanía,1,Temuco,1,177,60,105,72,59.3,ACREDITADA,NO ACREDITADA,14,no,matrícula total and matrícula de primer año are DIFFERENT metrics; both are 2026 values summed across this institution's campuses,SIES/MINEDUC Matrícula 2026,https://www.mifuturo.cl/wp-content/uploads/2026/07/Matricula_2026_WEB_10_07_2026.zip,2026-07-10,,,,
universidad-del-bio-bio,Universidad del Bío-Bío,UBB,UNIVERSIDAD DEL BIO-BIO,Universidades CRUCH,Universidades Estatales CRUCH,yes,yes,Ñuble,1,Chillán,1,153,48,84,69,54.9,ACREDITADA,NO ACREDITADA,14,no,matrícula total and matrícula de primer año are DIFFERENT metrics; both are 2026 values summed across this institution's campuses,SIES/MINEDUC Matrícula 2026,https://www.mifuturo.cl/wp-content/uploads/2026/07/Matricula_2026_WEB_10_07_2026.zip,2026-07-10,,,,
universidad-central-de-chile,Universidad Central de Chile,UCEN,UNIVERSIDAD CENTRAL DE CHILE,Universidades Privadas,Universidades Privadas,no,no,Metropolitana,1,Santiago,1,147,50,94,53,63.9,ACREDITADA,NO ACREDITADA,14,no,matrícula total and matrícula de primer año are DIFFERENT metrics; both are 2026 values summed across this institution's campuses,SIES/MINEDUC Matrícula 2026,https://www.mifuturo.cl/wp-content/uploads/2026/07/Matricula_2026_WEB_10_07_2026.zip,2026-07-10,3,02-09-2026,02-09-2029,https://www.cnachile.cl/Paginas/medicina.aspx
universidad-de-la-serena,Universidad de La Serena,ULS,UNIVERSIDAD DE LA SERENA,Universidades CRUCH,Universidades Estatales CRUCH,yes,yes,Coquimbo,1,La Serena,1,38,38,22,16,57.9,ACREDITADA,NO ACREDITADA,12,yes,matrícula total and matrícula de primer año are DIFFERENT metrics; both are 2026 values summed across this institution's campuses,SIES/MINEDUC Matrícula 2026,https://www.mifuturo.cl/wp-content/uploads/2026/07/Matricula_2026_WEB_10_07_2026.zip,2026-07-10,,,,
universidad-de-los-lagos,Universidad de Los Lagos,ULagos,UNIVERSIDAD DE LOS LAGOS,Universidades CRUCH,Universidades Estatales CRUCH,yes,yes,Los Lagos,1,Osorno,1,35,35,26,9,74.3,ACREDITADA,NO ACREDITADA,14,yes,matrícula total and matrícula de primer año are DIFFERENT metrics; both are 2026 values summed across this institution's campuses,SIES/MINEDUC Matrícula 2026,https://www.mifuturo.cl/wp-content/uploads/2026/07/Matricula_2026_WEB_10_07_2026.zip,2026-07-10,,,,
